Anno,Settore,Area Geografica,Occupati,Numero Incidenti,Percentage,PercentageOccupati
2018,Primario,Centro,4884790,492,0.038942412719921736,3.59093571516482
2018,Primario,NordEst,5123503,645,0.051052553260873004,3.7664198275573977
2018,Primario,NordOvest,6865335,337,0.026673969688239076,5.046885669204013
2018,Primario,Sud,5511350,334,0.02643651595214199,4.051536208060864
2018,Primario,Total,22958728,1808,0.1431054516211758,16.87755591334624
2018,Secondario,Centro,4884790,26479,2.095845826038227,3.59093571516482
2018,Secondario,NordEst,5123503,60041,4.752319923001669,3.7664198275573977
2018,Secondario,NordOvest,6865335,48488,3.837885585291799,5.046885669204013
2018,Secondario,Sud,5511350,20762,1.6433381562825509,4.051536208060864
2018,Secondario,Total,22958728,155770,12.329389490614245,16.87755591334624
2018,Terziario,Centro,4884790,96372,7.627963818382718,3.59093571516482
2018,Terziario,NordEst,5123503,144254,11.417883748982907,3.7664198275573977
2018,Terziario,NordOvest,6865335,141354,11.188345137422392,5.046885669204013
2018,Terziario,Sud,5511350,92144,7.293312352976562,4.051536208060864
2018,Terziario,Total,22958728,474124,37.52750505776458,16.87755591334624
2019,Primario,Centro,4908361,446,0.03533249781746566,3.586537770465195
2019,Primario,NordEst,5188001,613,0.0485623792872342,3.7908706266126724
2019,Primario,NordOvest,6865303,299,0.02368703329018438,5.016474647074251
2019,Primario,Sud,5510508,275,0.02178573295919968,4.0265263855797535
2019,Primario,Total,23109405,1633,0.1293676433540839,16.88603464282216
2019,Secondario,Centro,4908361,26852,2.127238186983381,3.586537770465195
2019,Secondario,NordEst,5188001,60029,4.755548232028355,3.7908706266126724
2019,Secondario,NordOvest,6920502,48740,3.8612240888414266,5.056808538243199
2019,Secondario,Sud,5510508,20589,1.6310780214434988,4.0265263855797535
2019,Secondario,Total,23109405,156210,12.375088529296661,16.88603464282216
2019,Terziario,Centro,4908361,97272,7.705970241480986,3.586537770465195
2019,Terziario,NordEst,5188001,143662,11.38102533958016,3.7908706266126724
2019,Terziario,NordOvest,6920502,141085,11.17687321654068,5.056808538243199
2019,Terziario,Sud,5510508,91285,7.231675029747428,4.0265263855797535
2019,Terziario,Total,23109405,473304,37.49554382734925,16.88603464282216
2020,Primario,Centro,4763433,453,0.040378866075869484,3.5908072172780177
2020,Primario,NordEst,5034056,537,0.0478663379309976,3.7948103010962284
2020,Primario,NordOvest,6695925,264,0.02353205440183122,5.047573003829867
2020,Primario,Sud,5340104,242,0.021571049868345286,4.025517727280978
2020,Primario,Total,22385258,1496,0.13334830827704358,16.874625083848244
2020,Secondario,Centro,4763433,19622,1.7490377707300462,3.5908072172780177
2020,Secondario,NordEst,5034056,45962,4.096895016730935,3.7948103010962284
2020,Secondario,NordOvest,6695925,35646,3.1773621636654386,5.047573003829867
2020,Secondario,Sud,5340104,16417,1.463355064829027,4.025517727280978
2020,Secondario,Total,22385258,117647,10.486650015955446,16.874625083848244
2020,Terziario,Centro,4763433,82417,7.346368665286833,3.5908072172780177
2020,Terziario,NordEst,5034056,131049,11.681258323127196,3.7948103010962284
2020,Terziario,NordOvest,6695925,150784,13.440368526233785,5.047573003829867
2020,Terziario,Sud,5340104,77544,6.912006161119698,4.025517727280978
2020,Terziario,Total,22385258,441794,39.38000167576751,16.874625083848244
2021,Primario,Centro,4782840,409,0.036982582921461296,3.5804684310699413
2021,Primario,NordEst,5056349,529,0.047833218497440155,3.7852192360547434
2021,Primario,NordOvest,6694417,288,0.026041525382349273,5.011488724882694
2021,Primario,Sud,5404412,262,0.023690554340887182,4.045781701770405
2021,Primario,Total,22553956,1488,0.13454788114213792,16.884053711548052
2021,Secondario,Centro,4782840,24294,2.196711172356921,3.5804684310699413
2021,Secondario,NordEst,5056349,54912,4.965250839567928,3.7852192360547434
2021,Secondario,NordOvest,6747158,43457,3.9294672518776124,5.050971016893938
2021,Secondario,Sud,5404412,18467,1.6698223931800138,4.045781701770405
2021,Secondario,Total,22553956,141130,12.761251656982475,16.884053711548052
2021,Terziario,Centro,4782840,82128,7.426174988199934,3.5804684310699413
2021,Terziario,NordEst,5056349,127683,11.54534751873091,3.7852192360547434
2021,Terziario,NordOvest,6747158,124488,11.256449346520473,5.050971016893938
2021,Terziario,Sud,5404412,76046,6.876228608424071,4.045781701770405
2021,Terziario,Total,22553956,410345,37.10420046187539,16.884053711548052
2022,Primario,Centro,4930155,381,0.027640983525683626,3.601337385083056
2022,Primario,NordEst,5173470,564,0.04091736143959466,3.779072041671233
2022,Primario,NordOvest,6880994,270,0.01958809856150808,5.026369543905252
2022,Primario,Sud,5548621,246,0.017846934244929585,4.053109130028758
2022,Primario,Total,23099391,1461,0.10599337777171594,16.873445232645036
2022,Secondario,Centro,4930155,26077,1.8918475784757267,3.601337385083056
2022,Secondario,NordEst,5173470,56996,4.134975057821165,3.779072041671233
2022,Secondario,NordOvest,6880994,45067,3.2695438439684614,5.026369543905252
2022,Secondario,Sud,5548621,20336,1.4753465642475123,4.053109130028758
2022,Secondario,Total,23099391,148476,10.771713044512866,16.873445232645036
2022,Terziario,Centro,4930155,110717,8.032353734942555,3.601337385083056
2022,Terziario,NordEst,5173470,148975,10.80791475259506,3.779072041671233
2022,Terziario,NordOvest,6880994,171585,12.448236635838384,5.026369543905252
2022,Terziario,Sud,5548621,107980,7.833788454339417,4.053109130028758
2022,Terziario,Total,23099391,539257,39.12229357771542,16.873445232645036
2023,Primario,Centro,5006144,404,0.09546133343415059,3.761972946105644
2023,Primario,NordEst,3050774,708,0.16729362393905597,2.292568742066249
2023,Primario,NordOvest,6991407,141,0.03331695053023572,5.253840878171627
2023,Primario,Sud,5729162,213,0.05032986143929226,4.305300136763246
2023,Primario,Total,23579947,1466,0.34640176934273453,17.719650630226568
2023,Secondario,Centro,5006144,8946,2.113854180450275,3.761972946105644
2023,Secondario,NordEst,3050774,10827,2.558316477949377,2.292568742066249
2023,Secondario,NordOvest,6991407,15701,3.7099960303207875,5.253840878171627
2023,Secondario,Sud,5729162,6707,1.5847999092644751,4.305300136763246
2023,Secondario,Total,23579947,42181,9.966966597984914,17.719650630226568
2023,Terziario,Centro,5006144,38169,9.018969395663598,3.761972946105644
2023,Terziario,NordEst,3050774,35850,8.4710118901344,2.292568742066249
2023,Terziario,NordOvest,6991407,58817,13.897894179694145,5.253840878171627
2023,Terziario,Sud,5729162,35121,8.298756167180205,4.305300136763246
2023,Terziario,Total,23579947,167957,39.686631632672345,17.719650630226568
2024,Primario,Centro,0,142,0.03281795280685941,nan
2024,Primario,NordEst,0,111,0.02565347015184081,nan
2024,Primario,NordOvest,0,85,0.019644549215373595,nan
2024,Primario,Sud,0,101,0.023342346714738033,nan
2024,Primario,Total,0,439,0.10145831888881186,nan
2024,Secondario,Centro,0,9857,2.278074371952206,nan
2024,Secondario,NordEst,0,11647,2.6917654671936027,nan
2024,Secondario,NordOvest,0,16763,3.874136217615383,nan
2024,Secondario,Sud,0,7700,1.7795650465691375,nan
2024,Secondario,Total,0,45967,10.623541103330329,nan
2024,Terziario,Centro,0,38642,8.930643185652546,nan
2024,Terziario,NordEst,0,37026,8.557165638216738,nan
2024,Terziario,NordOvest,0,59389,13.725530980609674,nan
2024,Terziario,Sud,0,34882,8.061660773301902,nan
2024,Terziario,Total,0,169939,39.27500057778086,nan
