Anno,Nazione,Area Geografica,Occupati,Count,Percentage,PercentageOccupati
2018,0,Centro,27843518,68,1.3375295043273014,8.695123787038666
2018,0,NordEst,28082231,130,2.5570416994492526,8.769670368565304
2018,0,NordOvest,29769286,128,2.5177025963808024,9.296512991704468
2018,0,Sud,28470078,108,2.1243115656963023,8.89078931895913
2018,0,Total,45917456,434,8.536585365853659,14.339350505417503
2018,1,Centro,27843518,414,8.14319433516916,8.695123787038666
2018,1,NordEst,28082231,460,9.04799370574351,8.769670368565304
2018,1,NordOvest,29824063,568,11.17230527143981,9.31361904833433
2018,1,Sud,28470078,666,13.099921321793865,8.89078931895913
2018,1,Total,45917456,2108,41.46341463414634,14.339350505417503
2019,0,Centro,28017766,80,1.644736842105263,8.692735856691584
2019,0,NordEst,28297406,144,2.9605263157894735,8.779496401945808
2019,0,NordOvest,29974708,144,2.9605263157894735,9.299892754670736
2019,0,Sud,28619913,92,1.8914473684210527,8.87955677660002
2019,0,Total,46218810,460,9.457236842105262,14.339755244604998
2019,1,Centro,28017766,410,8.429276315789473,8.692735856691584
2019,1,NordEst,28297406,414,8.511513157894738,8.779496401945808
2019,1,NordOvest,30029907,506,10.40296052631579,9.317018685644445
2019,1,Sud,28619913,642,13.199013157894738,8.87955677660002
2019,1,Total,46218810,1972,40.54276315789473,14.339755244604998
2020,0,Centro,27148691,102,1.5097690941385435,8.694897939219118
2020,0,NordEst,27419314,114,1.6873889875666075,8.781570234579704
2020,0,NordOvest,29028080,194,2.871521610420367,9.29680893165301
2020,0,Sud,27725362,80,1.1841326228537596,8.879588077300083
2020,0,Total,44770516,490,7.252812314979278,14.338631181377274
2020,1,Centro,27148691,508,7.519242155121374,8.694897939219118
2020,1,NordEst,27419314,506,7.48963883955003,8.781570234579704
2020,1,NordOvest,29081183,908,13.43990526939017,9.313816203394634
2020,1,Sud,27725362,966,14.298401420959147,8.879588077300083
2020,1,Total,44770516,2888,42.74718768502072,14.338631181377274
2021,0,Centro,27336796,98,1.747503566333809,8.690038134442883
2021,0,NordEst,27610305,138,2.4607703281027105,8.776983350704267
2021,0,NordOvest,29248373,120,2.1398002853067046,9.297705434843555
2021,0,Sud,27958368,84,1.4978601997146932,8.887628385447497
2021,0,Total,45107912,440,7.845934379457916,14.33926183028522
2021,1,Centro,27336796,446,7.9529243937232525,8.690038134442883
2021,1,NordEst,27610305,486,8.666191155492156,8.776983350704267
2021,1,NordOvest,29301114,614,10.948644793152638,9.3144711633967
2021,1,Sud,27958368,818,14.586305278174036,8.887628385447497
2021,1,Total,45107912,2364,42.15406562054208,14.33926183028522
2022,0,Centro,28029546,88,1.8092105263157896,8.70292490172281
2022,0,NordEst,28272861,142,2.919407894736842,8.77847204659853
2022,0,NordOvest,29980385,188,3.8651315789473686,9.308643071840587
2022,0,Sud,28459251,62,1.274671052631579,8.836344484933141
2022,0,Total,46198782,480,9.868421052631579,14.34431118852455
2022,1,Centro,28029546,438,9.004934210526317,8.70292490172281
2022,1,NordEst,28272861,424,8.717105263157894,8.77847204659853
2022,1,NordOvest,29980385,478,9.827302631578947,9.308643071840587
2022,1,Sud,28648012,612,12.582236842105262,8.894953097693907
2022,1,Total,46198782,1952,40.131578947368425,14.34431118852455
2023,0,Centro,27944984,26,2.044025157232704,8.675414993890525
2023,0,NordEst,26630721,16,1.257861635220126,8.267406997317133
2023,0,NordOvest,30514541,44,3.459119496855346,9.473124283166069
2023,0,Sud,27715975,22,1.729559748427673,8.604320012682598
2023,0,Total,47159894,108,8.49056603773585,14.640611406966197
2023,1,Centro,28586091,122,9.59119496855346,8.874444246528073
2023,1,NordEst,26630721,72,5.660377358490567,8.267406997317133
2023,1,NordOvest,30571354,172,13.522012578616351,9.490761664960521
2023,1,Sud,29202796,162,12.735849056603774,9.065897990205551
2023,1,Total,47159894,528,41.509433962264154,14.640611406966197
