Area Geografica,Anno,Count
Centro,2018,241
Centro,2019,245
Centro,2020,305
Centro,2021,272
Centro,2022,263
Centro,2023,74
NordEst,2018,295
NordEst,2019,279
NordEst,2020,310
NordEst,2021,312
NordEst,2022,283
NordEst,2023,44
NordOvest,2018,348
NordOvest,2019,325
NordOvest,2020,551
NordOvest,2021,367
NordOvest,2022,333
NordOvest,2023,108
Sud,2018,387
Sud,2019,367
Sud,2020,523
Sud,2021,451
Sud,2022,337
Sud,2023,92
Total,2018,1271
Total,2019,1216
Total,2020,1689
Total,2021,1402
Total,2022,1216
Total,2023,318
